메모,내역,금액,유형,날짜
,레슨비,20000,생활비,2022년 9월 28일
,종민b생일,13500,교제비,2022년 9월 28일
,청년회비,10000,교제비,2022년 9월 25일
,주일헌금,20000,헌금,2022년 9월 25일
,십일조,216666,헌금,2022년 9월 25일
,찬양대 회비,10000,교제비,2022년 9월 25일
,어머니,600000,생활비,2022년 9월 25일
,구역회비,10000,교제비,2022년 9월 25일
,구역 전도,50000,전도비,2022년 9월 25일
,찬양대 교제,22000,교제비,2022년 9월 25일
,"정민b, 예준b 와 점심",52000,교제비,2022년 9월 25일
,헌금,10000,교제비,2022년 9월 25일
,"결산 지방세, 소득세",110,비상금,2022년 9월 25일
,김 문숙 자매님_병원비 지원,50000,교제비,2022년 9월 25일
,광명b 축의금,50000,교제비,2022년 9월 24일
,저녁,8000,비상금,2022년 9월 23일
,간식,3200,비상금,2022년 9월 23일
,형제와 간식,6050,교제비,2022년 9월 21일
,택시,6300,비상금,2022년 9월 18일
,택시,6400,비상금,2022년 9월 17일
,아이들 용돈,50000,전도비,2022년 9월 16일
,레슨선생님 간식,1650,전도비,2022년 9월 16일
,승준이 커피,3800,전도비,2022년 9월 16일
,점심,7500,식비,2022년 9월 16일
,간식,3650,비상금,2022년 9월 15일
,점심,12500,식비,2022년 9월 15일
,점심,9500,식비,2022년 9월 14일
,점심,10000,식비,2022년 9월 13일
,어머니 암막 커튼,26900,비상금,2022년 9월 12일
,머리,11640,생활비,2022년 9월 12일
,가족과 저녁,29190,전도비,2022년 9월 12일
,장원b c++책 사드림,10000,교제비,2022년 9월 12일
,간식,6650,비상금,2022년 9월 11일
,통신비,49140,생활비,2022년 9월 11일
,카페,18000,교제비,2022년 9월 10일
,가족과 치킨,47433,전도비,2022년 9월 9일
,가족과 저녁,37000,전도비,2022년 9월 8일
,뉴코아아울렛,5000,비상금,2022년 9월 8일
,점심,12700,식비,2022년 9월 8일
,간식,3700,비상금,2022년 9월 7일
,대헌이 용돈,20000,전도비,2022년 9월 7일
,점심,7800,식비,2022년 9월 6일
,간식,6980,비상금,2022년 9월 5일
,교통비,69150,생활비,2022년 9월 5일
,보험,23560,생활비,2022년 9월 5일
,택시,6500,비상금,2022년 9월 5일
,점심,10900,식비,2022년 9월 5일
,종근 b 축의금,50000,교제비,2022년 9월 3일
,택시,6500,비상금,2022년 9월 3일
,점심,7500,식비,2022년 9월 2일
,가족과 치킨,24250,전도비,2022년 9월 1일
,점심,13500,식비,2022년 9월 1일
